order_id,order_date,customer_name,product_id,product_name,price,quantity,discount,profit,ship_date,payment_method
ORD1034,2023-10-01,Aarohi Pillai,P134,Printer,841.43,1,0.13,217.23,2023-10-04,Credit Card
ORD1035,2023-05-23,Sneha Pandey,P135,Monitor,164.04,1,0.09,24.2,2023-05-31,Credit Card
ORD1036,2023-06-14,Ishaan Reddy,P136,Laptop,261.72,3,0.05,94.12,2023-06-24,UPI
ORD1037,2023-09-06,Ishaan Bose,P137,Tablet,685.28,5,0.13,508.59,2023-09-10,Cash
ORD1038,2023-10-28,Krishna Iyer,P138,Camera,361.84,2,0.11,149.03,2023-11-07,Credit Card
ORD1039,2023-01-21,Ishaan Reddy,P139,Keyboard,860.4,9,0.17,1704.95,2023-01-30,UPI
ORD1040,2023-09-28,Kiara Singh,P140,Laptop,522.64,5,0.23,356.22,2023-10-06,UPI
ORD1041,2023-10-09,Ira Jain,P141,Laptop,206.94,7,0.12,359.29,2023-10-12,UPI
ORD1042,2023-06-01,Ayaan Gupta,P142,Phone,112.05,2,0.11,58.93,2023-06-03,Net Banking
ORD1043,2023-01-09,Aadhya Jain,P143,Headphones,489.38,6,0.29,579.28,2023-01-16,Cash
ORD1044,2023-02-10,Anika Ghosh,P144,Camera,907.88,7,0.26,1081.18,2023-02-16,Net Banking
ORD1045,2023-08-10,Aditya Iyer,P145,Keyboard,896.8,9,0.24,1738.64,2023-08-13,Debit Card
ORD1046,2023-05-11,Priya Chopra,P146,Mouse,931.52,8,0.17,1673.04,2023-05-17,Debit Card
ORD1047,2023-02-16,Ayaan Nair,P147,Printer,473.44,9,0.21,967.64,2023-02-23,Net Banking
ORD1048,2023-04-30,Reyansh Sharma,P148,Keyboard,865.9,8,0.02,1645.9,2023-05-09,Cash
ORD1049,2023-03-26,Kabir Iyer,P149,Mouse,165.71,1,0.09,34.62,2023-04-02,UPI
ORD1050,2023-07-26,Ira Singh,P150,Laptop,244.59,8,0.03,403.34,2023-08-05,Cash
ORD1051,2023-04-23,Simran Iyer,P151,Keyboard,488.16,3,0.14,331.0,2023-04-28,Net Banking
ORD1052,2023-02-26,Shreya Verma,P152,Camera,563.72,5,0.23,588.9,2023-03-04,Cash
ORD1053,2023-07-16,Sneha Singh,P153,Camera,124.44,5,0.02,150.17,2023-07-22,UPI
ORD1054,2023-06-30,Meera Mehta,P154,Phone,325.35,5,0.24,240.36,2023-07-09,Credit Card
ORD1055,2023-03-11,Saanvi Singh,P155,Router,527.75,6,0.16,459.31,2023-03-18,Credit Card
ORD1056,2023-04-11,Priya Bose,P156,Keyboard,959.95,8,0.11,1568.78,2023-04-13,Credit Card
ORD1057,2023-02-28,Simran Patel,P157,Monitor,356.1,1,0.25,40.67,2023-03-09,UPI
ORD1058,2023-06-27,Priya Jain,P158,Printer,198.87,4,0.18,152.53,2023-07-04,Debit Card
ORD1059,2023-01-18,Nisha Agarwal,P159,Laptop,327.36,1,0.23,52.16,2023-01-21,UPI
ORD1060,2023-05-06,Avni Chopra,P160,Headphones,954.13,8,0.26,1437.96,2023-05-14,Credit Card
ORD1061,2023-01-03,Arjun Mehta,P161,Tablet,777.37,6,0.19,892.15,2023-01-07,Credit Card
ORD1062,2023-03-01,Kiara Gupta,P162,Camera,252.83,6,0.23,310.27,2023-03-10,Cash
ORD1063,2023-06-06,Aisha Kaur,P163,Router,832.42,6,0.11,913.55,2023-06-08,UPI
ORD1064,2023-09-11,Kabir Jain,P164,Router,348.95,7,0.09,411.34,2023-09-18,Cash
ORD1065,2023-10-17,Aditya Mehta,P165,Printer,311.54,3,0.1,132.05,2023-10-22,Cash
ORD1066,2023-03-02,Shreya Mehta,P166,Laptop,128.02,1,0.12,33.14,2023-03-09,Debit Card
ORD1067,2023-01-26,Aisha Verma,P167,Monitor,305.25,7,0.2,425.52,2023-01-31,UPI
ORD1068,2023-08-02,Krishna Pillai,P168,Router,345.98,8,0.25,396.3,2023-08-11,Credit Card
ORD1069,2023-08-09,Aarohi Nair,P169,Camera,890.45,3,0.22,403.23,2023-08-19,Net Banking
ORD1070,2023-08-20,Diya Kaur,P170,Mouse,482.73,1,0.2,92.1,2023-08-30,Cash
ORD1071,2023-01-31,Ananya Singh,P171,Tablet,864.41,9,0.0,2219.56,2023-02-08,Credit Card
ORD1072,2023-06-08,Vivaan Iyer,P172,Phone,923.89,2,0.01,304.85,2023-06-14,UPI
ORD1073,2023-08-03,Aadhya Singh,P173,Headphones,660.31,9,0.13,1543.63,2023-08-13,Net Banking
ORD1074,2023-09-16,Vivaan Pandey,P174,Laptop,241.65,7,0.29,181.61,2023-09-19,Credit Card
ORD1075,2023-10-23,Kiara Pillai,P175,Tablet,930.62,5,0.21,1037.68,2023-10-29,Net Banking
ORD1076,2023-03-03,Anika Pandey,P176,Tablet,810.53,9,0.12,1408.61,2023-03-11,Net Banking
ORD1077,2023-02-20,Nisha Pandey,P177,Mouse,585.34,9,0.17,1066.06,2023-02-25,Cash
ORD1078,2023-09-09,Nisha Patel,P178,Router,230.27,7,0.17,302.68,2023-09-18,Cash
ORD1079,2023-10-07,Kiara Rana,P179,Monitor,364.02,9,0.26,642.59,2023-10-17,Debit Card
ORD1080,2023-10-22,Priya Sharma,P180,Tablet,698.3,4,0.12,544.27,2023-10-27,Net Banking
ORD1081,2023-01-07,Anika Patel,P181,Tablet,167.08,9,0.19,180.99,2023-01-10,Net Banking
ORD1082,2023-01-23,Ira Bose,P182,Headphones,423.94,3,0.27,258.08,2023-02-02,Debit Card
ORD1083,2023-06-17,Diya Chopra,P183,Camera,118.41,5,0.05,62.21,2023-06-22,Debit Card
ORD1084,2023-03-15,Meera Bose,P184,Router,312.56,3,0.02,274.98,2023-03-22,Net Banking
ORD1085,2023-10-20,Kavya Mehta,P185,Mouse,242.37,7,0.11,347.48,2023-10-23,UPI
ORD1086,2023-09-18,Aarohi Bose,P186,Mouse,135.64,3,0.1,69.4,2023-09-28,Debit Card
ORD1087,2023-07-18,Ananya Nair,P187,Printer,578.98,9,0.1,1210.41,2023-07-27,UPI
ORD1088,2023-04-02,Sneha Nair,P188,Keyboard,275.14,8,0.17,459.93,2023-04-09,Net Banking
ORD1089,2023-08-11,Aisha Agarwal,P189,Laptop,819.61,6,0.3,528.52,2023-08-15,Cash
ORD1090,2023-04-17,Diya Ghosh,P190,Headphones,898.68,2,0.24,202.44,2023-04-26,Cash
ORD1091,2023-07-15,Diya Ghosh,P191,Tablet,116.08,7,0.15,137.13,2023-07-19,UPI
ORD1092,2023-01-12,Saanvi Nair,P192,Tablet,808.7,1,0.11,134.33,2023-01-15,Net Banking
ORD1093,2023-06-22,Ayaan Gupta,P193,Laptop,844.79,2,0.01,342.63,2023-07-01,UPI
ORD1094,2023-07-19,Aditya Chopra,P194,Printer,417.03,1,0.09,97.05,2023-07-22,Debit Card
ORD1095,2023-03-01,Aisha Verma,P195,Printer,423.2,3,0.21,137.04,2023-03-08,Credit Card
ORD1096,2023-01-09,Ayaan Bose,P196,Monitor,347.1,9,0.11,827.54,2023-01-18,UPI
ORD1097,2023-05-21,Kavya Agarwal,P197,Monitor,377.66,4,0.02,177.75,2023-05-28,Cash
ORD1098,2023-05-02,Diya Chopra,P198,Keyboard,577.46,1,0.1,68.86,2023-05-09,Debit Card
ORD1099,2023-04-08,Simran Yadav,P199,Laptop,454.67,8,0.14,316.37,2023-04-17,Net Banking
